id,date,hour,lan,lon
AL061906,19060922,1200,16.3,-82.3
AL061906,19060922,1800,16.9,-82.8
AL061906,19060923,0000,17.5,-83.2
AL061906,19060923,0600,18.1,-83.7
AL061906,19060923,1200,18.7,-84.0
AL061906,19060923,1800,19.3,-84.3
AL061906,19060924,0000,20.0,-84.6
AL061906,19060924,0600,20.6,-84.8
AL061906,19060924,1200,21.4,-85.1
AL061906,19060924,1800,21.9,-85.2
AL061906,19060925,0000,22.3,-85.5
AL061906,19060925,0600,22.8,-85.7
AL061906,19060925,1200,23.3,-86.0
AL061906,19060925,1800,24.0,-86.3
AL061906,19060926,0000,24.7,-86.6
AL061906,19060926,0600,25.5,-86.8
AL061906,19060926,1200,26.3,-87.0
AL061906,19060926,1800,27.3,-87.4
AL061906,19060927,0000,28.4,-87.9
AL061906,19060927,0600,29.4,-88.4
AL061906,19060927,1100,30.2,-88.6
AL061906,19060927,1200,30.4,-88.7
AL061906,19060927,1800,31.4,-89.0
AL061906,19060928,0000,32.4,-89.3
AL061906,19060928,0600,33.6,-89.6
AL061906,19060928,1200,34.7,-89.9
AL061906,19060928,1800,35.6,-90.2
AL061906,19060929,0000,36.6,-90.4
AL061906,19060929,0600,37.3,-90.5
AL061906,19060929,1200,38.0,-90.3
AL061906,19060929,1800,38.2,-89.4
AL061906,19060930,0000,38.0,-88.4
AL061906,19060930,0600,37.3,-87.5
AL071906,19060922,0000,30.3,-31.9
AL071906,19060922,0600,29.6,-32.9
AL071906,19060922,1200,29.0,-33.8
AL071906,19060922,1800,28.3,-34.7
AL071906,19060923,0000,27.7,-35.6
AL071906,19060923,0600,27.3,-36.4
AL071906,19060923,1200,26.9,-37.1
AL071906,19060923,1800,26.6,-37.8
AL071906,19060924,0000,26.3,-38.5
AL071906,19060924,0600,26.1,-39.2
AL071906,19060924,1200,26.0,-40.0
AL071906,19060924,1800,25.8,-40.7
AL071906,19060925,0000,25.7,-41.5
AL071906,19060925,0600,25.7,-42.2
AL071906,19060925,1200,25.7,-43.0
AL071906,19060925,1800,25.7,-43.7
AL071906,19060926,0000,26.0,-44.3
AL071906,19060926,0600,26.4,-44.6
AL071906,19060926,1200,27.0,-44.7
AL071906,19060926,1800,27.5,-44.7
AL071906,19060927,0000,27.9,-44.4
AL071906,19060927,0600,28.2,-44.0
AL071906,19060927,1200,28.6,-43.3
AL071906,19060927,1800,29.2,-42.3
AL071906,19060928,0000,29.9,-41.0
AL071906,19060928,0600,30.5,-39.7
AL071906,19060928,1200,31.0,-38.5
AL071906,19060928,1800,31.7,-37.0
AL071906,19060929,0000,32.4,-35.4
AL071906,19060929,0600,33.1,-33.7
AL071906,19060929,1200,33.9,-32.2
AL071906,19060929,1800,34.7,-30.8
AL071906,19060930,0000,35.8,-29.6
AL071906,19060930,0600,36.7,-28.7
AL071906,19060930,1200,37.7,-27.7
AL071906,19060930,1800,39.2,-26.3
AL071906,19061001,0000,40.8,-24.4
AL071906,19061001,0600,42.1,-22.5
AL071906,19061001,1200,43.3,-20.5
AL071906,19061001,1800,44.8,-18.0
AL071906,19061002,0000,46.5,-15.0
AL071906,19061002,0600,48.5,-11.2
AL071906,19061002,1200,50.0,-8.0
AL071906,19061002,1800,51.5,-4.7
AL081906,19061008,0600,11.3,-76.4
AL081906,19061008,1200,11.3,-77.3
AL081906,19061008,1800,11.3,-78.3
AL081906,19061009,0000,11.3,-79.3
AL081906,19061009,0600,11.3,-80.4
AL081906,19061009,1200,11.5,-81.5
AL081906,19061009,1800,11.7,-82.4
AL081906,19061010,0000,12.1,-83.1
AL081906,19061010,0600,12.6,-83.9
AL081906,19061010,1200,13.0,-84.6
AL081906,19061010,1800,13.2,-85.1
AL081906,19061011,0000,13.4,-85.5
AL081906,19061011,0600,13.7,-85.9
AL081906,19061011,1200,14.0,-86.3
AL081906,19061011,1800,14.4,-86.7
AL081906,19061012,0000,14.7,-86.9
AL081906,19061012,0600,15.1,-87.1
AL081906,19061012,1200,15.5,-87.3
AL081906,19061012,1800,15.8,-87.4
AL081906,19061013,0000,16.1,-87.6
AL081906,19061013,0600,16.4,-87.8
AL081906,19061013,1200,16.7,-88.0
AL081906,19061013,1800,16.9,-88.1
AL081906,19061014,0000,17.1,-88.2
AL081906,19061014,0600,17.4,-88.3
AL081906,19061014,1200,17.7,-88.3
AL081906,19061014,1800,17.9,-88.3
AL081906,19061015,0000,18.1,-88.2
AL081906,19061015,0600,18.3,-88.1
AL081906,19061015,1200,18.5,-88.0
AL081906,19061015,1800,18.8,-87.8
AL081906,19061016,0000,19.1,-87.6
AL081906,19061016,0600,19.3,-87.3
AL081906,19061016,1200,19.5,-87.0
AL081906,19061016,1800,19.8,-86.3
AL081906,19061017,0000,20.0,-85.7
AL081906,19061017,0600,20.3,-85.1
AL081906,19061017,1200,20.7,-84.0
AL081906,19061017,1800,21.5,-82.7
AL081906,19061018,0000,22.6,-82.1
AL081906,19061018,0600,23.9,-81.6
AL081906,19061018,1000,24.7,-81.1
AL081906,19061018,1200,25.3,-80.7
AL081906,19061018,1800,26.6,-79.5
AL081906,19061019,0000,27.9,-78.6
AL081906,19061019,0600,29.0,-78.1
AL081906,19061019,1200,30.0,-78.0
AL081906,19061019,1800,30.5,-78.0
AL081906,19061020,0000,30.9,-78.0
AL081906,19061020,0600,31.4,-78.1
AL081906,19061020,1200,31.7,-78.3
AL081906,19061020,1800,32.1,-79.3
AL081906,19061021,0000,31.7,-80.4
AL081906,19061021,0600,30.7,-81.2
AL081906,19061021,0900,30.0,-81.4
AL081906,19061021,1200,29.5,-81.5
AL081906,19061021,1800,29.0,-81.5
AL081906,19061022,0000,28.3,-81.6
AL081906,19061022,0600,27.3,-81.7
AL081906,19061022,1200,26.0,-82.0
AL081906,19061022,1800,24.9,-82.8
AL081906,19061023,0000,24.0,-83.8
AL081906,19061023,0600,23.1,-84.8
AL081906,19061023,1200,22.3,-85.7
AL081906,19061023,1800,21.5,-86.6
AL091906,19061014,0600,33.7,-62.0
AL091906,19061014,1200,33.7,-63.5
AL091906,19061014,1800,33.7,-65.1
AL091906,19061015,0000,33.6,-66.9
AL091906,19061015,0600,33.4,-68.2
AL091906,19061015,1200,33.2,-69.7
AL091906,19061015,1800,32.7,-71.4
AL091906,19061016,0000,32.1,-73.1
AL091906,19061016,0600,31.2,-74.9
AL091906,19061016,1200,30.5,-76.5
AL091906,19061016,1800,30.1,-77.3
AL091906,19061017,0000,29.9,-78.0
AL091906,19061017,0600,29.6,-78.7
AL091906,19061017,1200,29.3,-79.5
AL091906,19061017,1800,28.8,-80.6
AL101906,19061015,0600,21.0,-69.4
AL101906,19061015,1200,21.7,-70.0
AL101906,19061015,1800,22.7,-70.7
AL101906,19061016,0000,23.9,-71.3
AL101906,19061016,0600,25.2,-71.6
AL101906,19061016,1200,26.2,-71.3
AL101906,19061016,1800,27.1,-71.0
AL101906,19061017,0000,27.8,-70.4
AL101906,19061017,0600,28.2,-69.8
AL101906,19061017,1200,28.5,-69.3
AL101906,19061017,1800,28.8,-68.5
AL101906,19061018,0000,29.0,-67.7
AL101906,19061018,0600,29.2,-66.9
AL101906,19061018,1200,29.3,-66.0
AL101906,19061018,1800,29.3,-65.0
AL101906,19061019,0000,29.3,-64.0
AL101906,19061019,0600,29.3,-63.0
AL101906,19061019,1200,29.3,-62.0
AL101906,19061019,1800,29.3,-61.0
AL101906,19061020,0000,29.2,-60.0
AL101906,19061020,0600,29.1,-59.0
AL101906,19061020,1200,29.0,-58.0
AL101906,19061020,1800,28.9,-57.1
AL111906,19061105,0000,18.5,-82.5
AL111906,19061105,0600,19.0,-82.5
AL111906,19061105,1200,19.5,-82.5
AL111906,19061105,1800,19.9,-82.4
AL111906,19061106,0000,20.3,-82.1
AL111906,19061106,0600,20.7,-81.8
AL111906,19061106,1200,21.0,-81.5
AL111906,19061106,1800,21.3,-81.0
AL111906,19061107,0000,21.5,-80.5
AL111906,19061107,0600,21.7,-80.0
AL111906,19061107,1200,22.0,-79.3
AL111906,19061107,1800,22.4,-78.4
AL111906,19061108,0000,22.7,-77.6
AL111906,19061108,0600,23.0,-76.6
AL111906,19061108,1200,23.3,-75.7
AL111906,19061108,1800,23.6,-74.8
AL111906,19061109,0000,23.9,-73.9
AL111906,19061109,0600,24.2,-73.0
AL111906,19061109,1200,24.5,-72.3
AL111906,19061109,1800,24.8,-71.5
AL111906,19061110,0000,25.1,-70.5
AL111906,19061110,0600,25.5,-69.5
AL011907,19070624,1200,16.0,-78.0
AL011907,19070624,1800,16.1,-78.8
AL011907,19070625,0000,16.4,-79.7
AL011907,19070625,0600,16.7,-80.6
AL011907,19070625,1200,17.0,-81.5
